Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort
864,97.670000,57.350000,28.890000,37.760000,39.470000,37.270000
865,97.020000,57.480000,28.770000,37.560000,37.760000,38.110000
866,97.570000,56.710000,28.550000,37.720000,37.880000,37.590000
867,97.060000,56.980000,28.630000,49.960000,37.930000,37.750000
868,99.230000,56.970000,28.740000,39.400000,38.660000,37.890000
869,98.150000,56.860000,28.810000,37.620000,37.990000,37.780000
870,98.320000,57.150000,28.810000,37.720000,37.990000,38.050000
871,99.160000,56.790000,28.780000,37.740000,38.080000,37.800000
872,98.490000,57.330000,29.040000,37.830000,39.190000,37.830000
873,98.670000,56.980000,29.010000,37.940000,38.690000,37.910000
874,99.290000,56.800000,29.090000,38.120000,38.210000,38.080000
875,100.230000,57.480000,29.540000,38.360000,38.330000,38.040000
876,99.340000,57.880000,29.660000,38.200000,38.330000,39.620000
877,100.440000,57.240000,29.250000,38.150000,38.420000,37.890000
878,101.050000,57.220000,29.120000,38.110000,38.500000,38.320000
879,100.000000,57.370000,29.170000,38.180000,38.720000,38.480000
880,101.370000,57.530000,29.690000,38.990000,38.880000,38.340000
881,100.410000,57.640000,29.290000,38.190000,38.610000,38.390000
882,101.100000,57.700000,29.310000,38.270000,39.700000,38.210000
883,101.010000,57.450000,29.470000,39.040000,38.780000,38.260000
884,101.050000,57.940000,29.620000,38.830000,38.860000,38.310000
885,102.660000,58.330000,29.920000,39.340000,39.100000,38.770000
886,102.000000,57.900000,29.510000,39.600000,39.430000,38.960000
887,102.440000,57.960000,30.650000,38.940000,39.250000,38.610000
888,103.110000,58.790000,30.090000,38.600000,39.100000,38.630000
889,103.840000,57.550000,29.850000,39.050000,40.120000,38.660000
890,104.830000,57.760000,30.880000,38.960000,40.560000,38.910000
891,103.430000,59.370000,30.140000,38.760000,39.480000,39.490000
892,104.710000,58.810000,30.040000,39.120000,39.160000,39.360000
893,103.520000,58.010000,29.780000,39.610000,39.280000,39.320000
894,104.280000,59.790000,30.650000,39.280000,39.840000,38.930000
895,106.360000,58.520000,30.340000,39.160000,41.210000,39.250000
896,104.560000,58.150000,29.840000,39.840000,39.370000,39.270000
897,104.820000,58.680000,30.020000,39.410000,39.570000,39.160000
898,104.900000,58.770000,30.260000,39.030000,39.370000,39.020000
899,105.230000,59.080000,30.790000,39.270000,40.140000,39.720000
900,105.210000,58.990000,30.310000,39.930000,39.600000,40.240000
901,105.150000,59.340000,30.320000,39.690000,39.580000,40.390000
902,105.470000,59.290000,30.160000,40.770000,39.830000,39.610000
903,106.270000,59.190000,30.330000,40.180000,40.180000,40.220000
904,107.120000,60.510000,30.340000,39.560000,39.800000,39.720000
905,107.220000,59.180000,31.040000,39.590000,39.710000,39.560000
906,106.900000,59.350000,31.270000,39.410000,40.780000,39.670000
907,107.080000,59.470000,30.800000,39.870000,39.970000,39.890000
908,107.370000,59.510000,31.590000,39.540000,40.040000,39.500000
909,106.770000,59.170000,30.820000,39.730000,40.730000,40.480000
910,108.310000,59.990000,30.610000,39.700000,40.080000,40.650000
911,107.340000,59.330000,31.080000,39.760000,41.290000,39.940000
912,108.570000,59.850000,33.260000,39.730000,40.630000,40.750000
913,108.810000,60.320000,30.880000,40.040000,40.090000,40.220000
914,108.490000,60.240000,31.080000,40.370000,40.770000,39.920000
915,109.280000,60.920000,30.980000,40.410000,40.300000,40.920000
916,108.620000,60.140000,30.990000,40.160000,40.740000,39.970000
917,110.340000,59.880000,31.380000,40.110000,40.960000,40.450000
918,109.040000,60.270000,30.990000,40.440000,41.330000,40.260000
919,109.960000,60.620000,31.830000,40.120000,40.920000,40.130000
920,110.710000,61.140000,31.660000,40.340000,40.580000,41.450000
921,111.560000,62.200000,31.330000,40.140000,42.690000,40.490000
922,111.620000,62.090000,31.420000,41.380000,40.580000,41.590000
923,110.830000,60.670000,32.180000,40.460000,41.660000,40.500000
924,111.780000,60.980000,32.080000,41.250000,41.640000,40.560000
925,112.120000,61.090000,31.440000,41.050000,40.810000,41.130000
926,111.920000,61.230000,32.230000,40.690000,41.390000,40.710000
927,111.440000,61.890000,31.380000,41.630000,40.930000,41.010000
928,112.060000,62.400000,32.870000,40.590000,41.030000,40.680000
929,113.540000,61.980000,31.550000,40.660000,40.910000,41.100000
930,113.170000,61.240000,31.620000,41.470000,41.850000,40.650000
931,113.980000,60.740000,32.980000,41.090000,41.080000,41.610000
932,112.740000,61.780000,31.630000,40.900000,41.220000,41.100000
933,113.560000,62.160000,31.820000,41.380000,41.900000,41.270000
934,114.140000,61.950000,31.710000,41.810000,41.160000,41.980000
935,113.510000,62.580000,32.410000,41.050000,42.660000,40.880000
936,114.640000,62.180000,32.200000,41.700000,41.280000,41.850000
937,113.740000,63.120000,32.950000,41.030000,42.550000,41.030000
938,114.910000,63.090000,32.060000,41.450000,41.820000,42.290000
939,114.550000,62.430000,32.800000,41.260000,42.600000,41.750000
940,115.580000,61.880000,32.280000,42.320000,41.680000,42.520000
941,114.880000,63.220000,32.640000,41.280000,42.770000,42.950000
942,115.440000,62.750000,32.190000,42.390000,43.110000,41.300000
943,115.880000,61.620000,33.000000,41.870000,41.610000,42.150000
944,115.460000,61.960000,32.390000,41.730000,42.550000,41.550000
945,116.630000,62.530000,32.500000,42.020000,41.870000,41.940000
946,116.450000,62.380000,33.300000,41.630000,41.800000,41.620000
947,117.410000,63.230000,32.400000,42.170000,42.320000,41.860000
948,116.650000,62.020000,33.010000,41.510000,42.340000,41.420000
949,118.110000,63.310000,32.550000,42.260000,42.040000,42.360000
950,117.270000,61.770000,33.600000,42.080000,42.310000,41.670000
951,117.800000,62.760000,33.140000,42.680000,43.190000,41.630000
952,119.070000,62.450000,33.120000,42.130000,42.570000,41.850000
953,117.570000,62.940000,33.130000,42.430000,42.670000,42.610000
954,119.290000,62.750000,32.700000,42.560000,42.100000,42.060000
955,117.630000,63.020000,33.270000,42.560000,42.580000,42.310000
956,117.720000,62.340000,32.740000,42.760000,42.890000,42.460000
957,119.650000,63.060000,33.410000,42.660000,42.310000,42.160000
958,119.680000,62.680000,33.380000,41.990000,42.890000,42.130000
959,118.990000,62.270000,33.100000,42.290000,42.480000,42.670000
960,119.480000,62.280000,33.480000,42.200000,43.350000,42.910000
961,119.720000,63.180000,33.130000,42.550000,43.020000,42.560000
962,120.310000,62.900000,33.420000,42.520000,43.540000,42.580000
963,120.130000,62.670000,33.110000,42.480000,42.770000,42.270000
964,120.030000,62.740000,33.630000,42.340000,43.090000,42.320000
965,120.770000,63.180000,33.270000,42.720000,42.630000,42.600000
966,120.820000,63.110000,33.330000,42.700000,42.860000,43.300000
967,120.580000,63.010000,33.370000,42.650000,42.890000,42.550000
968,121.130000,63.870000,33.900000,42.670000,42.930000,43.470000
969,122.060000,64.160000,34.000000,42.800000,42.970000,42.770000
970,121.080000,63.430000,33.590000,43.150000,45.640000,42.760000
971,124.730000,63.660000,33.870000,42.970000,43.440000,42.710000
972,122.140000,63.760000,33.700000,43.300000,43.200000,43.240000
973,122.130000,64.070000,33.720000,42.870000,43.550000,42.780000
974,123.090000,64.290000,34.060000,42.830000,43.420000,42.890000
975,123.290000,64.370000,34.300000,42.950000,43.610000,43.440000
976,122.280000,63.980000,33.840000,43.560000,43.340000,43.310000
977,123.060000,64.430000,33.940000,43.090000,43.740000,43.000000
978,124.160000,64.280000,33.990000,43.130000,43.500000,43.160000
979,124.270000,64.410000,33.940000,43.410000,43.240000,43.410000
980,124.070000,64.830000,34.190000,43.240000,43.450000,43.700000
981,124.450000,64.440000,34.040000,43.640000,43.990000,43.220000
982,124.800000,65.300000,34.220000,43.480000,43.980000,43.690000
983,125.240000,64.880000,34.130000,43.610000,43.630000,43.620000
984,124.980000,64.810000,34.640000,43.560000,43.840000,43.850000
985,125.780000,64.600000,34.680000,43.620000,44.390000,43.460000
986,126.100000,64.560000,34.580000,43.450000,44.520000,43.360000
987,126.050000,65.220000,34.560000,43.640000,44.410000,43.730000
988,126.820000,64.970000,34.850000,43.590000,44.210000,43.630000
989,126.380000,64.870000,34.370000,44.240000,44.080000,43.690000
990,127.310000,65.710000,34.430000,43.960000,43.990000,44.110000
991,127.100000,64.940000,35.260000,43.940000,45.230000,44.290000
992,127.580000,65.910000,35.070000,43.770000,44.460000,43.810000
993,128.260000,66.130000,35.310000,43.810000,45.160000,43.850000
994,128.380000,65.860000,34.790000,43.990000,44.410000,44.370000
995,127.200000,65.590000,35.050000,44.030000,45.010000,44.260000
996,128.180000,65.610000,35.270000,44.410000,44.380000,44.170000
997,127.760000,65.500000,35.060000,44.150000,44.440000,45.160000
998,128.440000,67.090000,34.930000,44.590000,44.820000,44.070000
999,131.980000,69.240000,35.240000,44.950000,45.520000,44.180000
1000,130.080000,65.810000,35.200000,45.270000,45.500000,44.450000
